Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3
Meerekenen;;true;true;true;true;true;true;true;true;true
Punten;;7;10;3;5;1;9;4;4;4
1000001;1A;7;2;0;2;0;1;1;0;2
1000002;1A;2;7;1;0;1;7;2;1;0
1000003;1A;3;3;3;1;1;4;2;4;3
1000004;1A;7;4;2;2;0;0;0;4;2
1000005;1A;6;7;0;1;0;5;4;4;2
1000006;1A;4;1;3;1;1;9;1;0;1
1000007;1A;6;1;1;2;0;4;0;1;4
1000008;1A;6;10;2;1;1;5;4;2;0
1000009;1A;1;10;1;4;1;9;1;1;4
1000010;1A;7;4;3;5;0;1;0;4;3
1000011;1A;7;1;3;4;1;9;4;2;3
1000012;1A;3;6;1;1;0;0;3;4;2
1000013;1A;0;0;0;5;0;2;3;3;4
1000014;1A;5;8;3;2;1;4;3;4;2
1000015;1A;7;1;3;2;0;4;2;2;3
1000016;1A;0;9;2;3;1;1;0;2;3
1000017;1A;4;1;0;1;1;9;3;1;2
1000018;1A;1;7;1;3;0;1;2;1;2
1000019;1A;2;0;2;5;0;8;1;1;3
1000020;1A;7;1;2;0;1;0;1;0;4
1000021;1A;7;3;2;5;0;5;3;3;0
1000022;1A;2;3;1;4;0;4;3;3;3
1000023;1A;6;6;2;2;0;2;1;3;1
1000024;1A;4;8;0;2;1;2;3;3;0
1000025;1A;5;1;3;4;1;5;3;0;0
1000026;1A;4;4;0;4;0;1;2;4;4
1000027;1A;2;2;2;0;1;4;1;0;2
1000028;1A;7;4;0;3;1;3;2;0;4
1000029;1A;3;4;1;3;1;6;0;1;3
