Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;3;6;9;9;9;3;1;8;5;9;9;8;3;3;4
1000001;1A;0;5;7;6;6;3;1;0;0;1;9;1;3;3;2
1000002;1A;2;2;9;6;2;3;1;0;4;7;6;8;3;1;1
1000003;1A;0;5;8;4;1;3;1;3;3;6;7;2;2;0;3
1000004;1A;0;4;1;2;1;3;0;3;0;6;8;3;1;3;2
1000005;1A;2;0;9;6;8;1;1;3;3;0;2;5;2;2;2
1000006;1A;0;2;4;0;0;3;1;0;2;7;9;3;3;2;1
1000007;1A;1;4;7;4;7;0;1;3;1;0;1;3;2;2;1
1000008;1A;1;4;1;7;7;3;1;8;5;1;2;4;3;3;2
1000009;1A;0;4;0;1;9;1;1;7;4;7;0;3;2;2;3
1000010;1A;1;0;6;0;6;3;1;3;2;5;2;7;0;3;0
1000011;1A;3;1;3;3;6;1;0;0;1;4;3;5;0;1;4
1000012;1A;3;3;5;9;6;3;0;4;4;4;9;1;1;3;1
1000013;1A;2;5;8;2;1;0;1;6;2;1;9;5;1;1;3
1000014;1A;3;0;7;5;2;2;1;4;3;8;4;6;2;0;4
1000015;1A;0;2;4;0;1;2;1;5;1;5;6;1;1;3;2
1000016;1A;1;6;6;2;1;1;0;4;0;8;5;5;0;1;1
1000017;1A;2;6;6;8;7;0;0;2;4;2;2;4;0;3;1
1000018;1A;1;3;3;9;5;2;0;6;5;2;1;3;0;2;1
1000019;1A;0;3;1;4;1;1;0;8;2;9;5;7;0;2;0
1000020;1A;0;5;2;2;9;2;1;5;2;9;5;3;1;0;0
1000021;1A;3;4;8;2;3;2;1;5;1;1;2;0;3;2;1
