Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3;7.1;7.2;7.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;3;9;1;6;6;7;5;7;3;4;10;3;3;6;10;6;6;10;4;4;10
1000001;1A;2;4;0;2;2;2;5;5;3;4;4;2;0;3;6;4;6;5;1;4;0
1000002;1A;3;4;0;2;0;6;2;0;3;0;9;2;2;5;8;1;0;10;4;4;3
1000003;1A;2;9;1;6;5;7;5;4;1;0;0;3;3;6;10;5;5;6;1;0;5
1000004;1A;2;5;0;4;5;6;1;3;1;2;5;3;1;1;9;3;3;2;3;3;7
1000005;1A;1;5;0;6;5;2;5;3;3;4;7;2;0;2;2;4;5;5;4;0;2
1000006;1A;0;2;0;6;5;7;3;2;0;0;10;2;0;2;8;5;1;6;1;1;4
1000007;1A;3;4;0;1;1;4;3;2;2;1;0;2;2;1;3;5;1;6;0;3;8
1000008;1A;3;4;1;6;0;7;3;6;0;2;3;1;3;2;7;1;3;2;3;1;6
1000009;1A;3;6;0;2;5;4;2;0;1;3;5;0;1;0;4;3;1;1;1;4;8
1000010;1A;0;8;0;6;4;5;4;0;1;0;6;3;2;3;8;0;2;2;3;2;4
1000011;1A;2;5;0;1;3;6;5;3;0;2;0;3;2;0;5;2;5;9;1;1;6
1000012;1A;2;3;0;4;0;7;5;3;3;3;3;1;2;2;8;1;3;3;3;4;1
1000013;1A;1;0;1;0;4;5;3;3;1;0;1;2;1;1;9;5;1;2;1;0;3
1000014;1A;2;0;1;4;4;5;4;3;3;2;9;3;2;5;6;3;6;9;0;4;10
1000015;1A;2;2;1;3;4;5;0;7;1;3;10;0;2;3;1;0;0;1;2;4;6
1000016;1A;0;9;0;5;0;5;4;6;1;1;10;2;2;1;6;5;0;3;2;1;5
1000017;1A;0;2;1;4;6;4;3;5;1;2;2;1;0;0;8;3;2;6;0;3;3
1000018;1A;3;1;1;2;1;6;2;0;1;0;10;0;3;0;2;1;2;2;0;3;7
1000019;1A;3;9;0;5;6;1;2;3;2;4;1;0;0;5;10;1;4;5;4;3;3
1000020;1A;3;7;1;0;5;3;3;3;0;1;4;1;2;3;4;6;0;8;3;3;2
1000021;1A;0;5;0;5;3;1;3;7;3;0;7;0;3;5;10;6;4;10;3;1;1
1000022;1A;3;4;0;3;5;3;2;5;2;3;7;3;2;4;9;4;5;5;4;4;1
