Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3;7.1;7.2;7.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;4;7;6;1;9;5;3;5;10;7;10;6;10;3;10;7;2;7;2;10;8
1000001;1A;1;2;6;1;3;0;2;1;0;4;7;6;0;0;10;3;0;2;1;0;3
1000002;1A;0;7;6;1;1;5;2;4;9;2;8;2;1;1;4;1;2;2;0;6;5
1000003;1A;1;7;6;1;2;1;2;3;3;6;2;5;10;2;0;7;2;3;1;0;4
1000004;1A;0;2;6;0;0;0;2;1;6;7;2;0;6;1;5;2;1;7;2;7;8
1000005;1A;0;1;5;1;7;3;3;5;9;4;0;0;6;1;6;2;1;2;2;1;5
1000006;1A;1;4;3;1;5;5;3;5;4;7;1;2;0;0;9;2;0;5;0;3;0
1000007;1A;2;5;3;1;2;1;2;5;5;3;5;2;4;3;6;6;2;7;0;0;6
1000008;1A;1;2;6;0;9;0;3;3;8;4;2;5;10;0;9;6;2;3;2;8;2
1000009;1A;3;6;2;1;6;5;1;4;9;0;8;4;3;2;10;5;0;3;0;7;5
1000010;1A;0;2;3;0;1;4;0;4;10;3;2;4;0;0;5;2;0;0;0;7;0
1000011;1A;2;3;2;0;3;3;0;1;7;5;10;2;7;0;7;7;1;7;1;2;0
1000012;1A;2;4;6;0;1;2;1;1;4;2;6;1;8;0;1;6;0;3;1;9;8
1000013;1A;0;7;1;0;3;0;3;1;6;1;5;5;2;2;5;7;1;4;0;8;6
1000014;1A;3;4;3;1;5;5;0;5;9;0;0;5;5;1;9;0;1;0;0;5;1
