Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3;7.1;7.2;7.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;8;1;9;1;5;3;10;1;7;9;8;3;10;3;7;10;6;3;3;1;6
1000001;1A;7;0;7;0;3;0;4;0;3;7;8;3;9;1;3;0;4;2;3;1;6
1000002;1A;6;1;4;0;3;0;1;0;6;3;3;3;1;1;7;1;3;0;1;1;0
1000003;1A;2;0;9;1;0;1;2;0;0;0;7;2;9;3;2;9;0;2;2;1;4
1000004;1A;0;0;4;1;1;1;2;0;3;7;5;3;1;2;5;7;0;3;1;1;6
1000005;1A;0;0;3;0;2;2;4;1;0;7;5;1;2;0;0;8;3;0;2;0;2
1000006;1A;5;1;0;0;0;0;10;0;3;1;0;3;7;1;2;9;3;3;2;0;3
1000007;1A;8;1;0;1;5;2;3;0;2;3;3;3;0;2;3;0;1;0;0;1;5
1000008;1A;1;1;5;0;3;2;1;1;0;8;1;1;9;2;1;5;1;1;0;0;6
1000009;1A;2;1;5;1;4;0;4;1;0;5;1;2;10;2;3;4;1;1;1;1;3
1000010;1A;2;1;2;0;2;0;10;1;7;0;8;2;3;0;2;2;6;3;1;0;4
1000011;1A;0;1;8;1;2;1;2;0;3;4;8;1;8;3;6;8;4;0;0;0;0
1000012;1A;7;1;2;0;5;1;7;0;0;9;1;3;1;0;2;10;0;3;2;0;6
1000013;1A;3;0;4;1;1;2;3;1;6;5;1;0;10;2;3;7;5;2;2;1;3
1000014;1A;1;0;6;0;0;0;6;0;3;5;8;2;8;2;0;6;0;1;2;1;0
1000015;1A;1;0;1;1;0;3;4;0;7;4;5;0;10;2;3;7;2;2;1;1;3
1000016;1A;3;0;2;1;3;1;5;1;0;3;4;1;7;2;2;3;0;1;3;0;0
1000017;1A;2;0;4;0;1;0;4;0;7;9;0;2;3;1;3;8;3;3;0;0;2
1000018;1A;3;0;9;0;2;0;5;0;5;4;8;0;4;3;1;5;2;0;2;1;0
1000019;1A;1;0;3;0;4;2;8;0;6;2;6;2;6;1;4;8;0;2;1;0;4
1000020;1A;3;1;8;0;0;1;4;0;5;9;1;0;5;1;7;8;5;1;1;0;0
