Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3;7.1;7.2;7.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;6;5;7;5;7;8;6;3;2;3;3;10;3;4;8;7;3;8;5;3;1
1000001;1A;2;2;3;4;7;8;6;0;0;0;2;4;1;0;8;2;2;5;4;2;0
1000002;1A;5;2;7;1;4;8;4;3;2;0;0;2;0;1;7;0;3;8;4;3;0
1000003;1A;6;1;1;4;2;1;3;0;1;0;3;10;3;2;3;3;1;2;3;0;0
1000004;1A;5;3;7;5;3;0;6;3;2;2;0;1;1;0;2;0;0;5;5;0;1
1000005;1A;0;1;0;1;6;4;5;0;1;2;2;4;0;3;5;0;0;8;5;3;0
1000006;1A;5;1;6;5;5;8;5;0;1;0;2;5;2;3;3;4;2;2;1;0;0
1000007;1A;3;5;3;1;2;0;2;2;1;1;2;10;2;3;1;5;0;4;2;3;0
1000008;1A;6;0;0;2;7;6;2;1;0;2;0;2;0;0;2;6;2;4;5;1;0
1000009;1A;0;4;4;0;6;0;4;2;0;0;2;6;3;3;0;7;3;8;0;3;1
1000010;1A;4;1;1;4;7;1;1;3;2;2;0;0;2;4;3;4;3;4;1;3;1
1000011;1A;0;1;2;1;3;1;3;3;0;0;1;6;0;2;5;7;3;2;0;0;1
1000012;1A;0;3;5;2;1;4;0;0;0;1;0;4;1;4;1;6;2;6;0;1;0
1000013;1A;4;1;3;3;6;6;6;2;1;2;1;2;2;1;4;7;2;8;0;3;1
1000014;1A;2;3;0;1;4;5;0;3;1;3;2;7;3;2;8;0;0;6;0;0;0
1000015;1A;1;2;0;0;0;4;3;3;1;1;2;1;2;3;2;6;0;2;3;0;1
1000016;1A;1;0;5;3;0;8;0;1;1;0;2;7;2;2;4;2;3;5;0;0;0
1000017;1A;6;2;5;5;0;2;0;1;1;2;1;6;0;3;5;4;2;1;2;2;0
1000018;1A;0;0;1;4;2;3;5;0;2;3;1;1;1;1;1;4;0;4;5;2;0
1000019;1A;6;5;0;4;0;4;6;0;1;0;1;7;0;0;0;4;3;3;0;3;1
1000020;1A;3;2;7;4;5;1;4;0;0;2;1;8;1;1;1;5;1;2;5;0;1
1000021;1A;3;0;2;5;6;0;5;0;1;3;3;9;2;2;1;4;1;4;4;0;0
1000022;1A;2;1;3;2;2;6;4;1;1;3;1;8;1;1;6;3;0;7;4;2;0
