Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3;7.1;7.2;7.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;6;7;9;7;1;8;8;7;4;5;2;7;10;3;5;3;9;6;4;1;4
1000001;1A;3;5;8;2;0;8;6;3;2;3;1;6;7;0;3;1;6;1;2;0;3
1000002;1A;2;7;3;6;1;5;8;0;3;1;1;0;7;1;4;2;3;4;4;1;2
1000003;1A;2;7;5;5;1;6;2;2;3;0;2;2;8;2;2;2;3;5;4;1;3
1000004;1A;0;6;9;0;1;4;0;6;2;1;0;3;1;3;1;3;1;1;3;1;0
1000005;1A;5;2;7;7;0;0;4;3;0;1;2;7;2;2;2;3;8;3;0;0;1
1000006;1A;0;6;3;7;0;7;2;4;1;1;2;5;2;0;0;1;6;0;2;0;3
1000007;1A;0;4;5;5;0;1;5;7;4;4;2;6;10;3;3;3;2;2;3;0;0
1000008;1A;5;5;7;6;1;3;7;3;0;1;1;7;3;1;5;0;3;2;2;0;0
1000009;1A;0;4;3;2;0;6;2;2;0;3;1;1;4;0;4;2;7;3;2;0;2
1000010;1A;2;2;8;5;0;0;6;4;4;4;1;6;8;1;4;0;1;1;1;1;2
1000011;1A;2;5;6;5;0;0;5;2;1;5;2;5;7;0;0;3;7;1;4;1;1
1000012;1A;3;4;4;6;1;3;4;4;2;1;0;5;2;0;4;0;2;4;4;1;2
1000013;1A;4;4;7;7;1;4;6;4;1;3;0;4;6;2;4;3;9;1;1;1;3
1000014;1A;5;5;1;2;0;7;0;1;4;0;1;6;5;3;5;3;5;3;4;1;0
