Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3;7.1;7.2;7.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;6;9;7;4;7;4;1;3;6;6;7;6;6;5;6;9;5;9;9;1;9
1000001;1A;0;7;3;2;7;3;0;1;2;2;1;2;0;0;0;3;4;1;7;1;0
1000002;1A;5;7;6;1;0;1;0;0;1;3;7;1;1;0;5;0;0;1;8;1;9
1000003;1A;2;8;1;2;5;2;1;0;6;6;5;4;6;0;5;9;0;2;4;1;2
1000004;1A;4;8;6;4;3;1;0;2;3;1;2;6;6;1;0;5;2;1;7;0;1
1000005;1A;3;3;3;2;4;1;0;2;0;1;4;6;4;1;0;1;4;5;3;0;0
1000006;1A;1;0;0;3;3;3;0;3;5;5;6;6;6;4;2;5;3;5;5;0;0
1000007;1A;0;1;1;0;0;3;0;2;0;1;2;3;4;3;6;4;2;2;9;1;7
1000008;1A;4;0;0;1;6;0;0;1;0;1;4;1;0;0;5;5;3;7;5;1;4
1000009;1A;5;7;6;4;5;1;1;1;6;6;1;5;5;5;4;4;2;2;4;1;1
1000010;1A;4;6;3;2;7;1;0;2;0;0;6;3;2;4;4;6;3;3;2;0;9
1000011;1A;2;8;5;0;6;2;0;2;1;1;4;2;4;0;5;5;1;1;8;1;5
1000012;1A;6;9;1;1;7;0;0;3;4;1;7;3;5;5;5;6;0;5;3;1;4
1000013;1A;1;8;5;3;3;0;0;2;2;2;5;2;4;5;6;2;3;3;7;0;4
1000014;1A;5;0;3;1;1;2;1;1;5;3;4;1;2;2;6;2;5;7;8;1;9
1000015;1A;5;1;4;0;4;0;0;1;1;0;2;1;5;5;1;6;5;2;2;1;4
1000016;1A;5;2;6;0;5;3;1;0;2;2;3;4;1;0;5;3;4;8;6;1;0
1000017;1A;5;9;3;4;6;2;1;3;2;2;5;6;1;4;3;5;5;1;0;0;3
1000018;1A;1;7;2;0;3;1;0;1;1;3;4;4;0;1;3;7;3;4;7;0;9
1000019;1A;4;5;6;3;6;4;1;0;1;1;0;5;0;1;3;2;3;8;3;1;4
1000020;1A;3;2;6;1;0;3;0;0;2;3;1;4;5;3;0;7;2;9;2;1;2
1000021;1A;2;4;6;3;6;4;0;1;6;2;7;2;6;0;4;4;2;3;2;0;6
1000022;1A;0;1;0;1;6;2;0;2;1;2;6;4;3;3;4;5;1;1;9;0;5
1000023;1A;4;4;5;1;2;1;0;1;1;6;4;1;4;3;4;2;1;8;0;1;1
