Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3;7.1;7.2;7.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;8;1;7;7;5;6;5;10;8;10;8;10;7;8;7;5;10;9;6;2;1
1000001;1A;5;1;2;4;0;4;1;9;8;3;1;8;4;8;6;0;0;7;4;2;0
1000002;1A;7;1;0;2;2;0;1;6;4;9;8;10;7;1;5;5;9;9;1;1;0
1000003;1A;6;0;3;5;1;2;3;8;7;9;2;6;0;7;1;3;7;5;1;0;0
1000004;1A;2;0;3;5;2;1;0;5;6;2;7;2;6;1;0;3;0;3;5;2;1
1000005;1A;2;1;4;0;0;0;5;7;1;1;1;1;4;5;2;2;7;3;3;0;1
1000006;1A;4;0;2;1;3;0;5;10;5;6;4;9;3;8;7;0;6;4;2;1;0
1000007;1A;6;0;5;0;5;5;4;6;2;10;8;9;3;5;2;3;6;1;2;2;1
1000008;1A;8;0;3;0;4;3;2;8;0;2;2;0;1;3;1;4;10;9;3;0;0
1000009;1A;0;0;0;3;5;0;4;1;2;3;2;1;5;6;7;1;10;7;0;0;1
1000010;1A;4;1;0;6;2;5;1;4;4;1;8;8;7;5;5;1;6;4;3;1;1
1000011;1A;4;1;7;0;1;1;2;8;0;9;1;1;3;8;0;2;1;9;0;2;1
1000012;1A;6;1;6;2;2;1;3;1;2;0;4;4;0;8;7;3;10;4;4;0;1
1000013;1A;7;1;7;4;4;4;0;8;3;7;2;4;5;7;5;2;7;2;1;0;0
1000014;1A;3;1;1;6;3;0;4;4;1;2;0;5;1;7;3;2;9;0;0;0;0
1000015;1A;5;1;1;0;0;4;2;4;5;4;1;8;0;5;2;3;6;0;2;0;0
1000016;1A;0;1;6;5;1;4;4;7;3;7;5;9;6;1;6;5;10;5;2;0;1
1000017;1A;4;1;1;3;0;1;5;1;5;5;1;8;7;4;1;2;5;1;3;2;0
1000018;1A;5;0;7;5;5;6;3;1;3;10;3;4;1;3;3;3;3;6;6;1;1
1000019;1A;5;1;3;1;3;1;1;8;4;6;6;9;7;0;4;3;8;0;4;1;0
1000020;1A;5;0;3;6;1;0;3;9;2;10;4;9;7;3;5;5;6;9;4;2;0
1000021;1A;5;1;1;4;0;4;3;0;4;2;2;9;2;3;3;3;5;9;0;0;1
1000022;1A;4;0;1;0;4;6;5;6;7;1;7;0;0;5;7;0;10;9;0;0;0
1000023;1A;5;0;1;5;2;5;2;6;3;7;4;9;3;3;2;3;8;5;6;2;1
1000024;1A;4;0;6;6;3;6;2;0;5;2;2;0;5;6;3;5;0;7;5;1;1
1000025;1A;2;0;4;2;2;4;2;7;8;6;3;9;5;2;1;3;2;4;1;1;1
1000026;1A;5;1;0;4;1;5;4;4;1;10;8;7;2;5;0;4;5;1;6;2;1
